id,sku,skuRemake,skuNumeric,gender,msrp
1515,AX64603-Olive,"AX64603,Olive",64603,MEN,
1843,AX95201-Camel,"AX95201,Camel",95201,MEN,
847,AX95201-Camel/D.Brown,"AX95201,Camel/D.Brown",95201,MEN,
15,AX95201-D.Brown,"AX95201,D.Brown",95201,MEN,
1844,AX95201-L.Brown,"AX95201,L.Brown",95201,MEN,
1845,AX95201-Tan,"AX95201,Tan",95201,MEN,
631,AX95205-Camel/Camel,"AX95205,Camel/Camel",95205,MEN,
747,AX95205-CamelBtk,"AX95205,CamelBtk",95205,MEN,
467,AX95205-TanBtk,"AX95205,TanBtk",95205,MEN,
717,AX95218-Tan,"AX95218,Tan",95218,MEN,
191,AX95301-Camel/D.Brown,"AX95301,Camel/D.Brown",95301,MEN,
1859,AX95301-L.Brown,"AX95301,L.Brown",95301,MEN,
1866,AX95306-Camel,"AX95306,Camel",95306,MEN,
1867,AX95306-Camel/D.Brown,"AX95306,Camel/D.Brown",95306,MEN,
1900,AX95520-L.Brown/D.Coffee,"AX95520,L.Brown/D.Coffee",95520,MEN,
503,AX95520-Tan,"AX95520,Tan",95520,MEN,
1901,AX95520-Tan/Brown,"AX95520,Tan/Brown",95520,MEN,
864,AZ45218ST-Camel,"AZ45218ST,Camel",45218ST,MEN,
608,AZ45412-Camel,"AZ45412,Camel",45412ST,MEN,
780,AZ45412ST-Tan,"AZ45412ST,Tan",45412ST,MEN,
560,AZ45925-Tan,"AZ45925,Tan",45925ST,MEN,
725,AZ95217-D.Brown/D.BrownBtk,"AZ95217,D.Brown/D.BrownBtk",95217,MEN,
1851,AZ95217-Tan,"AZ95217,Tan",95217,MEN,
724,AZ95217-Tan/TanBtk,"AZ95217,Tan/TanBtk",95217,MEN,
351,AZ95218-Camel/CamelBtk,"AZ95218,Camel/CamelBtk",95218,MEN,
726,AZ95218-D.Brown,"AZ95218,D.Brown",95218,MEN,
825,AZ95218-Tan/TanBtk,"AZ95218,Tan/TanBtk",95218,MEN,
1856,AZ95219-L.Brown,"AZ95219,L.Brown",95219,MEN,
727,AZ95219-L.Brown/L.BrownBtk,"AZ95219,L.Brown/L.BrownBtk",95219,MEN,
960,AZ95222-Camel/D.Brown,"AZ95222,Camel/D.Brown",95222,MEN,
255,AZ95411-Camel,"AZ95411,Camel",95411,MEN,
583,AZ95411-Coffee,"AZ95411,Coffee",95411,MEN,
1881,Az95411-D.Brown/D.BrownBtk,"Az95411,D.Brown/D.BrownBtk",95411,MEN,
487,AZ95411-L.Brown,"AZ95411,L.Brown",95411,MEN,
329,AZ95411-Tan,"AZ95411,Tan",95411,MEN,
1882,AZ95411-Tan/TanBtk,"AZ95411,Tan/TanBtk",95411,MEN,
151,AZ95412-Camel,"AZ95412,Camel",95412,MEN,
1885,AZ95412-Camel/CamelBtk,"AZ95412,Camel/CamelBtk",95412,MEN,
998,AZ95412-D.Brown/D.BrownBtk,"AZ95412,D.Brown/D.BrownBtk",95412,MEN,
779,AZ95412-L.Brown,"AZ95412,L.Brown",95412,MEN,
1886,AZ95412-L.Brown/L.BrownBtk,"AZ95412,L.Brown/L.BrownBtk",95412,MEN,
242,AZ95412-Tan/TanBtk,"AZ95412,Tan/TanBtk",95412,MEN,
1902,AZ95520-Tan/L.Brown,"AZ95520,Tan/L.Brown",95520,MEN,
653,AZ95931-Tan,"AZ95931,Tan",95931,MEN,
904,AZ95931-Tan/D.Brown,"AZ95931,Tan/D.Brown",95931,MEN,
955,B04605-Taupe,"B04605,Taupe",04605,MEN,
1142,B05206-Street/Black,"B05206,Street/Black",05206,MEN,
1459,B63301-Black,"B63301,Black",63301,MEN,
1460,B63301-D.Brown/Nuss,"B63301,D.Brown/Nuss",63301,MEN,
320,BN09101-D.Brown,"BN09101,D.Brown",09101,MEN,
109,BN09101-Tan,"BN09101,Tan",09101,MEN,
119,BN09102-D.Brown,"BN09102,D.Brown",09102,MEN,
321,BN09102-Tan,"BN09102,Tan",09102,MEN,
314,BN09201-Brown/Black/Brown,"BN09201,Brown/Black/Brown",09201,MEN,
315,BN09201-Nugget/Black/D.Grey,"BN09201,Nugget/Black/D.Grey",09201,MEN,
265,BN09201-Nugget/Black/L.Grey,"BN09201,Nugget/Black/L.Grey",09201,MEN,
316,BN09201-Tan/Black/Brown,"BN09201,Tan/Black/Brown",09201,MEN,
149,BN09202-Blue,"BN09202,Blue",09202,MEN,
246,BN09202-Blue/L.Blue/Blue,"BN09202,Blue/L.Blue/Blue",09202,MEN,
1160,BN09202-Mocca/Black,"BN09202,Mocca/Black",09202,MEN,
317,BN09202-Mocca/Black/Cream,"BN09202,Mocca/Black/Cream",09202,MEN,
319,BN09202-Navy/L.Blue/Blue,"BN09202,Navy/L.Blue/Blue",09202,MEN,
